method,feature_space,value_view,metric,model_pairs,mean,std,median,iqr,ci95_low,ci95_high,minimum,maximum
gradient_shap,proxy_concept_v_only,absolute,top1_agreement,435,0.7118429118773946,0.07531080571845773,0.7183333333333334,0.10000000000000009,0.5645,0.8522499999999996,0.5183333333333333,0.94
gradient_shap,proxy_concept_v_only,absolute,top3_jaccard,435,0.8302475095785441,0.03723153488326869,0.8308333333333333,0.04800000000000004,0.7626583333333333,0.9147000000000001,0.7343333333333334,0.9536666666666668
gradient_shap,proxy_concept_v_only,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
gradient_shap,proxy_concept_v_only,absolute,cosine_similarity,435,0.9800195376018185,0.008239326466143506,0.9814793043645291,0.010519859221916672,0.961080808716489,0.996381789667772,0.9535774374435793,0.9987167388712226
gradient_shap,proxy_concept_v_only,signed,spearman,435,0.8456888888888887,0.03122844188978967,0.8414999999999999,0.031083333333333574,0.7992583333333332,0.9412333333333333,0.7621666666666664,0.9676666666666666
gradient_shap,proxy_concept_v_only,signed,kendall,435,0.7672383141762451,0.04090811407848899,0.7619999999999999,0.03916666666666668,0.7086333333333333,0.8988166666666667,0.6636666666666665,0.9396666666666665
gradient_shap,proxy_concept_v_only,signed,top1_agreement,435,0.8032413793103448,0.045543784171266956,0.8083333333333333,0.06000000000000005,0.7195,0.9143333333333332,0.6966666666666667,0.9466666666666667
gradient_shap,proxy_concept_v_only,signed,top3_jaccard,435,0.7310800766283525,0.03994890696803685,0.7256666666666667,0.03474999999999995,0.6760666666666667,0.8675833333333332,0.6576666666666667,0.9053333333333334
gradient_shap,proxy_concept_v_only,signed,sign_agreement,435,0.8799685823754789,0.023035898517087428,0.8783333333333333,0.023333333333333317,0.8403166666666667,0.9471999999999998,0.8196666666666665,0.9660000000000001
gradient_shap,proxy_concept_v_only,signed,cosine_similarity,435,0.9219401607837633,0.023899382993293732,0.9215645091704578,0.026617396953994454,0.875988218296391,0.9845704014793768,0.8481043974539622,0.9941496205435463
gradient_shap,proxy_concept_vmd,absolute,spearman,435,0.8193352490421454,0.0692235145423839,0.8279999999999997,0.08683333333333332,0.6640416666666665,0.9568416666666665,0.5563333333333332,0.9813333333333331
gradient_shap,proxy_concept_vmd,absolute,kendall,435,0.728623754789272,0.08575919320606983,0.7366666666666666,0.10650000000000015,0.5497833333333334,0.9205833333333334,0.43933333333333335,0.9633333333333334
gradient_shap,proxy_concept_vmd,absolute,top1_agreement,435,0.6563333333333333,0.15377436073499784,0.6766666666666666,0.1825,0.3295,0.9033333333333333,0.25833333333333336,0.97
gradient_shap,proxy_concept_vmd,absolute,top3_jaccard,435,0.8321934865900383,0.05175803373680325,0.8383333333333334,0.05899999999999994,0.7138916666666666,0.9438333333333333,0.6589999999999999,0.9733333333333334
gradient_shap,proxy_concept_vmd,absolute,sign_agreement,435,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
gradient_shap,proxy_concept_vmd,absolute,cosine_similarity,435,0.9843289841248325,0.007832006041424035,0.9857062891895911,0.008957379145890232,0.9651026657055838,0.9984069143698708,0.9572652377169587,0.9993483468970942
gradient_shap,proxy_concept_vmd,signed,spearman,435,0.8105241379310343,0.043962323186453746,0.8081666666666665,0.046499999999999986,0.7353999999999998,0.9367666666666663,0.6993333333333331,0.9651666666666665
gradient_shap,proxy_concept_vmd,signed,kendall,435,0.7236567049808429,0.054910565025614325,0.7193333333333334,0.055333333333333345,0.63485,0.8889666666666667,0.5933333333333334,0.9339999999999997
gradient_shap,proxy_concept_vmd,signed,top1_agreement,435,0.7390919540229884,0.0723618568361124,0.755,0.09666666666666668,0.5925833333333334,0.8757499999999999,0.54,0.9366666666666666
gradient_shap,proxy_concept_vmd,signed,top3_jaccard,435,0.6962072796934867,0.045980498388841,0.6878333333333333,0.041750000000000065,0.6333333333333333,0.8402249999999999,0.6111666666666666,0.9133333333333333
gradient_shap,proxy_concept_vmd,signed,sign_agreement,435,0.8508574712643676,0.028789516661042184,0.8496666666666666,0.031000000000000028,0.80375,0.9363999999999998,0.776,0.9670000000000001
gradient_shap,proxy_concept_vmd,signed,cosine_similarity,435,0.8889683300565555,0.03443324992755057,0.890193552525958,0.04040434407767646,0.8259652074675377,0.9808292728627815,0.7910920003033759,0.992317472274957
integrated_gradients,full_input_channels,absolute,spearman,435,0.875786197789706,0.02881174671068125,0.8697823113833628,0.015649856939862206,0.8486567620319493,0.9807735208647363,0.8396443828022158,0.9893147749701594
integrated_gradients,full_input_channels,absolute,kendall,435,0.7194189700630795,0.04828753640436124,0.7087753140969257,0.020016750010470097,0.6818708742183514,0.9022977667121836,0.6696236070741342,0.9294297679564982
integrated_gradients,full_input_channels,absolute,top1_agreement,435,0.4495823754789272,0.13172721408597401,0.43666666666666665,0.18083333333333335,0.25166666666666665,0.8339166666666663,0.20666666666666667,0.9283333333333333
integrated_gradients,full_input_channels,absolute,top3_jaccard,435,0.33302950191570885,0.12742326420138506,0.31583333333333335,0.13783333333333334,0.17882499999999998,0.7816583333333331,0.1505,0.8861666666666668
