control,control_index,method,model_pairs,mean_pair_spearman,median_pair_spearman,minimum_pair_spearman,maximum_pair_spearman
permuted_map,91,integrated_gradients,435,0.7204957854406129,0.7091666666666665,0.5854999999999999,0.9588333333333332
permuted_map,91,gradient_shap,435,0.8271080459770113,0.8236666666666665,0.7516666666666665,0.9683333333333334
permuted_map,92,integrated_gradients,435,0.7075295019157086,0.6964999999999999,0.5618333333333332,0.9663333333333333
permuted_map,92,gradient_shap,435,0.7683528735632182,0.7654999999999998,0.6026666666666665,0.9669999999999997
permuted_map,93,integrated_gradients,435,0.7211484170195602,0.7107719298245613,0.5574824561403507,0.9639736842105261
permuted_map,93,gradient_shap,435,0.8066176245210727,0.8044999999999999,0.6988333333333332,0.9641666666666665
permuted_map,94,integrated_gradients,435,0.6582716475095783,0.6413333333333333,0.5098333333333332,0.9563333333333333
permuted_map,94,gradient_shap,435,0.7354084291187737,0.7311666666666664,0.6031666666666666,0.96
permuted_map,95,integrated_gradients,435,0.7064821133293001,0.6940877192982454,0.5682543859649121,0.9683333333333332
permuted_map,95,gradient_shap,435,0.7946072796934864,0.7921666666666665,0.6754999999999999,0.9639999999999997
permuted_map,96,integrated_gradients,435,0.7083306513409959,0.7018333333333332,0.5653333333333332,0.9623333333333332
permuted_map,96,gradient_shap,435,0.791266283524904,0.7924999999999998,0.6656666666666665,0.9586666666666663
permuted_map,97,integrated_gradients,435,0.6796523290986084,0.6667807017543859,0.5378684210526314,0.9612807017543858
permuted_map,97,gradient_shap,435,0.780181609195402,0.7734999999999999,0.6794999999999998,0.9613333333333333
permuted_map,98,integrated_gradients,435,0.6807671304698526,0.6662017543859647,0.5237456140350876,0.9563333333333333
permuted_map,98,gradient_shap,435,0.8101563218390803,0.8133333333333331,0.6466666666666665,0.9721666666666666
permuted_map,99,integrated_gradients,435,0.7282547892720306,0.7204999999999998,0.6146666666666665,0.9621666666666666
permuted_map,99,gradient_shap,435,0.7987088122605362,0.7944999999999999,0.6974999999999999,0.9646666666666665
permuted_map,100,integrated_gradients,435,0.7073635007057874,0.6950087719298245,0.5611666666666666,0.9610877192982455
permuted_map,100,gradient_shap,435,0.785615325670498,0.7846666666666665,0.6474999999999999,0.9643333333333332
random_same_size,1,integrated_gradients,435,0.6650820326678764,0.6524912280701753,0.48300877192982455,0.955333333333333
random_same_size,1,gradient_shap,435,0.7182475095785439,0.7126666666666666,0.5523333333333332,0.9573333333333331
random_same_size,2,integrated_gradients,435,0.5341598507763661,0.5191578947368419,0.31190350877192974,0.9416666666666667
random_same_size,2,gradient_shap,435,0.6080582375478926,0.5969999999999999,0.4471666666666666,0.9313333333333332
random_same_size,3,integrated_gradients,435,0.7479858237547892,0.7414999999999998,0.6169999999999999,0.9628333333333332
random_same_size,3,gradient_shap,435,0.8176157088122603,0.8164999999999999,0.7096666666666666,0.968
random_same_size,4,integrated_gradients,435,0.7262923371647508,0.7143333333333332,0.5831666666666665,0.9673333333333332
random_same_size,4,gradient_shap,435,0.8385363984674328,0.8349999999999997,0.7426666666666665,0.9724999999999998
random_same_size,5,integrated_gradients,435,0.6650729784230689,0.6602543859649121,0.4458596491228069,0.9574736842105261
random_same_size,5,gradient_shap,435,0.7380398467432947,0.7354999999999998,0.5923333333333333,0.9558333333333331
random_same_size,6,integrated_gradients,435,0.6294954627949181,0.6182982456140349,0.4494035087719297,0.9481403508771927
random_same_size,6,gradient_shap,435,0.7298693486590037,0.7228333333333332,0.573,0.9554999999999997
random_same_size,7,integrated_gradients,435,0.6271303488606572,0.6179736842105261,0.4170263157894736,0.954473684210526
random_same_size,7,gradient_shap,435,0.6576291187739463,0.6491666666666664,0.4194999999999999,0.9431666666666665
random_same_size,8,integrated_gradients,435,0.6684202258519862,0.6556842105263156,0.4799736842105262,0.9538333333333333
random_same_size,8,gradient_shap,435,0.7629045977011493,0.7626666666666664,0.6106666666666666,0.9559999999999998
random_same_size,9,integrated_gradients,435,0.7359555555555555,0.7294999999999999,0.598,0.9614999999999998
random_same_size,9,gradient_shap,435,0.8196839080459768,0.8209999999999998,0.6654999999999999,0.9688333333333332
random_same_size,10,integrated_gradients,435,0.62422000907441,0.6099210526315788,0.398798245614035,0.9483245614035085
random_same_size,10,gradient_shap,435,0.7163049808429119,0.7086666666666666,0.5318333333333332,0.9496666666666665
random_same_size,11,integrated_gradients,435,0.6692661625327685,0.6570877192982455,0.5021228070175437,0.960333333333333
random_same_size,11,gradient_shap,435,0.7512720306513408,0.7464999999999997,0.6156666666666666,0.9593333333333331
random_same_size,12,integrated_gradients,435,0.6600507662835247,0.6484166666666665,0.4967499999999998,0.9521666666666664
random_same_size,12,gradient_shap,435,0.7792436781609193,0.7778333333333333,0.6149999999999998,0.9666666666666665
random_same_size,13,integrated_gradients,435,0.6987676144383946,0.6915964912280701,0.5438859649122806,0.9479736842105261
random_same_size,13,gradient_shap,435,0.7903777777777776,0.7864999999999998,0.6619999999999999,0.9546666666666666
random_same_size,14,integrated_gradients,435,0.6612803589433354,0.6468596491228069,0.4796228070175438,0.9513596491228069
random_same_size,14,gradient_shap,435,0.7707325670498083,0.7641666666666664,0.6173333333333332,0.9538333333333333
random_same_size,15,integrated_gradients,435,0.7161139947570073,0.7071666666666665,0.5745372807017542,0.9619999999999997
random_same_size,15,gradient_shap,435,0.8006191570881224,0.7981666666666665,0.6983333333333331,0.9609999999999999
random_same_size,16,integrated_gradients,435,0.6782946360153255,0.6673333333333331,0.5376666666666665,0.9539999999999997
random_same_size,16,gradient_shap,435,0.7749498084291186,0.7689999999999999,0.6616666666666665,0.9593333333333331
random_same_size,17,integrated_gradients,435,0.5493805001008267,0.5341140350877193,0.3502017543859648,0.9476403508771928
