model_id,baseline,n_steps,mean_absolute_completeness_error,median_absolute_completeness_error,p95_absolute_completeness_error,maximum_absolute_completeness_error
run_11_init_41_order_2003,median_training_episode,64,0.00022482343018054963,0.00019353628158569336,0.0005417943000793457,0.0008320808410644531
run_12_init_41_order_3007,zero_standardized,64,0.0006327720979849498,0.0006226599216461182,0.0010295987129211425,0.0014189481735229492
run_12_init_41_order_3007,median_training_episode,64,0.00030755472679932914,0.0002879500389099121,0.0006891369819641113,0.001077890396118164
run_13_init_53_order_1001,zero_standardized,64,6.968530515829723e-05,5.8710575103759766e-05,0.00016994774341583252,0.00036919116973876953
run_13_init_53_order_1001,median_training_episode,64,0.00013989427747825782,0.00013187527656555176,0.0002933502197265624,0.0005197525024414062
run_14_init_53_order_2003,zero_standardized,64,7.48936707774798e-05,6.443262100219727e-05,0.00017282962799072257,0.00034993886947631836
run_14_init_53_order_2003,median_training_episode,64,0.00013995274901390075,0.00012981891632080078,0.00030399560928344725,0.0005083084106445312
run_15_init_53_order_3007,zero_standardized,64,0.00015740680818756423,0.0001345425844192505,0.0004030108451843259,0.0006836503744125366
run_15_init_53_order_3007,median_training_episode,64,0.0001916384013990561,0.00014254450798034668,0.0005207538604736323,0.0008368492126464844
run_16_init_67_order_1001,zero_standardized,64,0.00018688791741927464,0.00017821788787841797,0.0004230797290802002,0.0006940662860870361
run_16_init_67_order_1001,median_training_episode,64,0.0003577729345609744,0.0003421306610107422,0.0007165670394897458,0.0011038780212402344
run_17_init_67_order_2003,zero_standardized,64,0.00010242630417148272,8.606910705566406e-05,0.00023952499032020555,0.00040018558502197266
run_17_init_67_order_2003,median_training_episode,64,0.00027742767706513406,0.0002734065055847168,0.0004892587661743164,0.0006625652313232422
run_18_init_67_order_3007,zero_standardized,64,0.00032088869561751684,0.00031241774559020996,0.0006691277027130127,0.0011709928512573242
run_18_init_67_order_3007,median_training_episode,64,0.0003575670470794042,0.00026538968086242676,0.000967574119567871,0.0014843940734863281
run_19_init_79_order_1001,zero_standardized,64,0.0003542094180981318,0.00032591819763183594,0.000736645609140396,0.0011959075927734375
run_19_init_79_order_1001,median_training_episode,64,0.00020642919543509682,0.0001373887062072754,0.0006225943565368651,0.0011096000671386719
run_20_init_79_order_2003,zero_standardized,64,0.0003439865509668986,0.0003292560577392578,0.0006979703903198239,0.0012178421020507812
run_20_init_79_order_2003,median_training_episode,64,0.00024604390064875283,0.00017881393432617188,0.0007264852523803709,0.0011701583862304688
run_21_init_79_order_3007,zero_standardized,64,0.00029923496146996815,0.0002821683883666992,0.0006204724311828611,0.0010395050048828125
run_21_init_79_order_3007,median_training_episode,64,0.00025121674562493963,0.00019516050815582275,0.0006751656532287592,0.0009975433349609375
run_22_init_83_order_1001,zero_standardized,64,0.0002393248677253723,0.00024014711380004883,0.0004520565271377563,0.0007860660552978516
run_22_init_83_order_1001,median_training_episode,64,0.00021767069585621357,0.00016313791275024414,0.0005840420722961421,0.0008516311645507812
run_23_init_83_order_2003,zero_standardized,64,0.00014459698150555292,0.0001450181007385254,0.000284963846206665,0.0004189014434814453
run_23_init_83_order_2003,median_training_episode,64,9.440275530020395e-05,7.575750350952148e-05,0.00024992972612380976,0.0004150867462158203
run_24_init_83_order_3007,zero_standardized,64,0.00027369743833939234,0.00027692317962646484,0.0004985332489013672,0.000873863697052002
run_24_init_83_order_3007,median_training_episode,64,0.00021921344411869844,0.00015878677368164062,0.000600624084472656,0.0009350776672363281
run_25_init_97_order_1001,zero_standardized,64,0.00031433879087368647,0.0002887248992919922,0.0007030345499515528,0.0013796091079711914
run_25_init_97_order_1001,median_training_episode,64,0.0002720512387653192,0.000178605318069458,0.0007762908935546875,0.0013628005981445312
run_26_init_97_order_2003,zero_standardized,64,0.0002711327870686849,0.00025713443756103516,0.0005699455738067621,0.0009871721267700195
run_26_init_97_order_2003,median_training_episode,64,0.00026598465473701556,0.00019670277833938599,0.0006995439529418945,0.0011267662048339844
run_27_init_97_order_3007,zero_standardized,64,0.0002578747396667798,0.00024569034576416016,0.0005567759275436397,0.0009948015213012695
run_27_init_97_order_3007,median_training_episode,64,0.00024280031677335502,0.00017511844635009766,0.0006777524948120116,0.0010204315185546875
run_28_init_109_order_1001,zero_standardized,64,0.0002693036074439685,0.00021366775035858154,0.0006964266300201412,0.001172780990600586
run_28_init_109_order_1001,median_training_episode,64,0.00024622284807264807,0.0001704096794128418,0.0007211685180664056,0.0011243820190429688
run_29_init_109_order_2003,zero_standardized,64,0.00028074033558368684,0.00023667514324188232,0.0006914615631103515,0.0010591745376586914
run_29_init_109_order_2003,median_training_episode,64,0.00024870226470132667,0.00017061829566955566,0.0007026433944702146,0.0011935234069824219
run_30_init_109_order_3007,zero_standardized,64,0.00021056545277436573,0.0001976490020751953,0.0004603482782840729,0.00067901611328125
run_30_init_109_order_3007,median_training_episode,64,0.000195381926993529,0.00013655424118041992,0.0005593538284301758,0.0008864402770996094
