model_arm,reporting_state,metric,n,mean,std,median,q25,q75,ci95_low,ci95_high
ConceptFAN-NoAlpha,raw,ECE20,30,0.12235251969722855,0.03736325944595771,0.10910327851040606,0.09183603114605507,0.15743671028371542,0.1101994443919084,0.13644205257789307
ConceptFAN-NoAlpha,raw,calibration_slope,30,32.85714945597447,84.23906078919836,3.8890588231451506,2.6574283994506374,10.361578843398553,8.391173874565828,66.6045066872347
ConceptFAN-NoAlpha,raw,calibration_intercept,30,54.405801988716895,158.62300828849285,4.924754488837687,1.406522510696983,10.282964369142148,9.375302431389297,117.9980899132631
ConceptFAN-StabilityReg,primary_calibrated,AUROC,30,0.7767107113172226,0.030103120084156002,0.7854512828878377,0.7548647200018642,0.7974470415511176,0.7657883953609408,0.7870294135924744
ConceptFAN-StabilityReg,primary_calibrated,AUPRC,30,0.3548501925221492,0.038589433435596655,0.3656281998394438,0.3203921267812887,0.3748948966149247,0.3416635721502157,0.3683373969959742
ConceptFAN-StabilityReg,primary_calibrated,Brier,30,0.10703038586812227,0.003051480903001486,0.10669459337911165,0.10560212569485666,0.10801730454938607,0.10604987334020209,0.10821473669329995
ConceptFAN-StabilityReg,primary_calibrated,NLL,30,0.3527698998847102,0.014289384850724866,0.3526135804515074,0.34461100064586725,0.35835076829451223,0.3478923460153542,0.3582758494038827
ConceptFAN-StabilityReg,primary_calibrated,ECE10,30,0.04487524123722268,0.011510447467704335,0.043785243284248224,0.037148725060526966,0.05234934935401332,0.0411524137880342,0.04900820783350076
ConceptFAN-StabilityReg,primary_calibrated,ECE15,30,0.04919227458906774,0.010365971006186355,0.0470203049553057,0.04140960464533921,0.056575413492245,0.04579069070102178,0.0530813254754092
ConceptFAN-StabilityReg,primary_calibrated,ECE20,30,0.05489152967831968,0.009473451632931632,0.05330681382741421,0.0481111743443047,0.06055190516940528,0.051909865074551066,0.058473013123693976
ConceptFAN-StabilityReg,primary_calibrated,calibration_slope,30,0.7224216493846553,0.09676535170649406,0.725892442814986,0.6801083348623037,0.7755508596604367,0.6873502215014408,0.755678812579556
ConceptFAN-StabilityReg,primary_calibrated,calibration_intercept,30,-0.3869364023276697,0.13857774108578533,-0.384321498801781,-0.4414010803390512,-0.3168959665710359,-0.43735726408025366,-0.3401936658019999
ConceptFAN-StabilityReg,raw,AUROC,30,0.7767107113172226,0.030103120084156002,0.7854512828878377,0.7548647200018642,0.7974470415511176,0.7657883953609408,0.7870294135924744
ConceptFAN-StabilityReg,raw,AUPRC,30,0.3548501925221492,0.038589433435596655,0.3656281998394438,0.3203921267812887,0.3748948966149247,0.3416635721502157,0.3683373969959742
ConceptFAN-StabilityReg,raw,Brier,30,0.11932144877894024,0.01008160097560792,0.1166980533522757,0.1136179228805319,0.121795087024693,0.11613787317254054,0.12310342882422859
ConceptFAN-StabilityReg,raw,NLL,30,0.39339355390111663,0.024246087638740466,0.38884372806600276,0.37649582936184967,0.4040016707095975,0.3853065258087615,0.4024214373258366
ConceptFAN-StabilityReg,raw,ECE10,30,0.09946953984070728,0.02975388044786635,0.09043135654766678,0.08338326897848838,0.10625507575601575,0.08979795748277017,0.11061764794026298
ConceptFAN-StabilityReg,raw,ECE15,30,0.1032090009604521,0.02873402822282574,0.09412578990708217,0.08845737090146812,0.11129593474072447,0.09410020087770136,0.11393407488105184
ConceptFAN-StabilityReg,raw,ECE20,30,0.10584646855406765,0.027459611547982384,0.09914489696922857,0.09106528297362391,0.11037156420159015,0.09702736678868387,0.11600634793058691
ConceptFAN-StabilityReg,raw,calibration_slope,30,19.036303132641947,51.242421678158614,2.8863503783264908,1.2256504936396524,7.693769285176616,5.9397178287371135,39.99371467237174
ConceptFAN-StabilityReg,raw,calibration_intercept,30,30.71998051636071,94.43561521521772,1.9736511022777372,-0.42117460066465306,13.721770907321106,7.202668456081543,68.68822521235379
PlainTransformer,primary_calibrated,AUROC,30,0.8147491319242153,0.007684238667437075,0.8171680920975974,0.8089883712800913,0.8206928293444572,0.8121979018588863,0.8174752200290524
PlainTransformer,primary_calibrated,AUPRC,30,0.43949628683404174,0.02662524155535481,0.43742894973272206,0.4200133001426777,0.4535823183293114,0.43053605504001147,0.4492090859204278
PlainTransformer,primary_calibrated,Brier,30,0.09849817303046565,0.002203374507873065,0.09858065043825526,0.09732884788133016,0.09974696466995357,0.09772506904360358,0.09923149048422342
PlainTransformer,primary_calibrated,NLL,30,0.32245594160845364,0.005984459099308262,0.3207805198515439,0.31840304652047563,0.3264619999507032,0.32035045361524256,0.3245140406163349
PlainTransformer,primary_calibrated,ECE10,30,0.033813208049266984,0.0076045960259866815,0.03459345460057103,0.027133382804191634,0.03951085621050898,0.03108370786327304,0.0364165436344052
PlainTransformer,primary_calibrated,ECE15,30,0.038738898004149286,0.006174494560156161,0.038545848823968054,0.03489157432153753,0.043215823292344725,0.036540660820022865,0.040915274095424684
PlainTransformer,primary_calibrated,ECE20,30,0.0463455283037092,0.008882465712145887,0.046666228099282704,0.04077984456900566,0.05130427715196126,0.04321752599673648,0.04953682525713938
PlainTransformer,primary_calibrated,calibration_slope,30,0.8383768289218881,0.049687220834196466,0.8453899548805828,0.8124134349949426,0.8787464715446902,0.8213180704788579,0.85639757405089
PlainTransformer,primary_calibrated,calibration_intercept,30,-0.2183821288378054,0.07646637413239607,-0.21132539411123025,-0.25306292255446533,-0.16081631587385442,-0.24442541817722482,-0.1907615144524223
PlainTransformer,raw,AUROC,30,0.8147491319242153,0.007684238667437075,0.8171680920975974,0.8089883712800913,0.8206928293444572,0.8121979018588863,0.8174752200290524
