model_arm,run_id,init_seed,data_order_seed,channels,best_epoch,epochs_completed,best_validation_AUPRC,selected_calibrator,parameter_sha256,checkpoint_sha256,max_decomposition_error,elapsed_seconds,evaluation_scope,test_used_for_selection,test_read_after_training_and_calibration_selection
PureNoFuzzy,run_15_init_53_order_3007,53,3007,V+M+D,2,10,0.47093366247000035,platt,82f9e70f108ba86e13b51c8618ec226c577c36ef3ad84d92dcc993c3ff583a81,946dc53787bbc6278ff7adfbd8c3e3d2831dbda7c674f6da4d97874a003d46d8,0.0,3.876210632999573,final_all_frozen_splits,False,True
PureNoFuzzy,run_16_init_67_order_1001,67,1001,V+M+D,7,15,0.4821559310787253,temperature,a5e48377cd638fb1aae34e4593bb84bd4d6fd4dd3266dc932f867426725e2b4f,6c574361348dfd1278e437585159c7d1cd7f7da763de4a4360e9eec94699b66b,0.0,5.638167531000363,final_all_frozen_splits,False,True
PureNoFuzzy,run_17_init_67_order_2003,67,2003,V+M+D,7,15,0.4858258243585969,temperature,1e1bd4583cf1f4a31c81dc9d6ce9d0447e26213e78bc29a518205e9b1de77c5f,25ee025b556a255d057281ab4bb5ad0e6f2748e5ba01528e25801206fc036e53,0.0,5.609591458000068,final_all_frozen_splits,False,True
PureNoFuzzy,run_18_init_67_order_3007,67,3007,V+M+D,7,15,0.4823255383557847,temperature,401fad5f6a88bd1b0566d901bd7cee8616e1bf681cc7522231363e86f609e1fc,3678ab6dabce86837b169c4e689fe8798fc779a092b856e57fb0f7f9b6e80310,0.0,5.72613102500145,final_all_frozen_splits,False,True
PureNoFuzzy,run_19_init_79_order_1001,79,1001,V+M+D,4,12,0.4225611289500098,platt,46f630b6a6303d48039025131a9722a928fc0d43aa7d30fe5d900e021ad968ec,2cfeb345fe574dc004f00aea0fab7420323b53f3094affd7ca7b94b8ba8bda8e,0.0,4.729588853000678,final_all_frozen_splits,False,True
PureNoFuzzy,run_20_init_79_order_2003,79,2003,V+M+D,4,12,0.41889347784829506,platt,bc65a6d6273b514bc49d04add0258686e8127ecd991caba4b8a458f951963151,ea23b62d996e80acd314d6d91427ccdea611460d1e4c5476cbddcc71afd9d65f,0.0,4.695315607001248,final_all_frozen_splits,False,True
PureNoFuzzy,run_21_init_79_order_3007,79,3007,V+M+D,4,12,0.42086957037196154,platt,b615177148c6d058d9604062873cf1b8657aa4071d3dec2bc1194da980c21b7b,cbb0dd3de4ff203771bc67b92d2d8b525c6fdc6447029ef2a5abb88c6e5ef59f,0.0,4.730876212999647,final_all_frozen_splits,False,True
PureNoFuzzy,run_22_init_83_order_1001,83,1001,V+M+D,48,50,0.3055003531681068,temperature,c426dd0baa6720faa5ff7860730781c07524232dbb5f61f30188d571feb0a65b,0361b53daf00ed1b4e287fc079686fbd34430466bc485ebbcc089ed3d3513d0c,0.0,17.351474858000074,final_all_frozen_splits,False,True
PureNoFuzzy,run_23_init_83_order_2003,83,2003,V+M+D,47,50,0.2975089883137207,temperature,fd8b44d677c522120b6846cc6ae22828ce153b091dfacb9ebbf7e62d1f469a44,41830d11727da433092668e67ae380c7768f5a0a0c674aa1796ecd5b79301a56,0.0,17.70441974700043,final_all_frozen_splits,False,True
PureNoFuzzy,run_24_init_83_order_3007,83,3007,V+M+D,49,50,0.3084507871141165,temperature,e790d5674f577e6c5aeab40d7abc192986da6d37591c5951b102e8058fc1a0a7,f961f4e45ad60ad23644d56559bd32b9d1c27d349333bf4b185dc20c830dad30,0.0,17.643361948999882,final_all_frozen_splits,False,True
PureNoFuzzy,run_25_init_97_order_1001,97,1001,V+M+D,17,25,0.47156680448878524,platt,85ab5742c14fcf6b4f78cd327f2488f6d13e52f5d70519e531f6db081082fa77,79e1256484e04f276f48a2ded2151619b9daaf81d5389f49f9daeec1f166abad,0.0,8.971988549999878,final_all_frozen_splits,False,True
PureNoFuzzy,run_26_init_97_order_2003,97,2003,V+M+D,17,25,0.4889487993276506,platt,73273a3aba1cdc3e7e3f603185cdcc4e0045e71dfcce2b3f11b65ec00efa8e8c,dc8d2d622f45ac28974d5d3a9ccb58529e6f3774194d345fa21ffa74ba3820a4,0.0,12.041018800999154,final_all_frozen_splits,False,True
PureNoFuzzy,run_27_init_97_order_3007,97,3007,V+M+D,6,14,0.4568675778848252,platt,8f036efab8fcf1d1cde63c1a00ff450be70c37af9408ae7d7a3f24717aadd037,305c9edc9aa2d9ce18f07bd0e4e268e957cd6ede7c35d2ab825284150d9610fd,0.0,6.772953198998948,final_all_frozen_splits,False,True
PureNoFuzzy,run_28_init_109_order_1001,109,1001,V+M+D,25,33,0.499510755490718,platt,6562e44ef5a1a8450d6beb73ae21f5071a872722e98eca7a1b28c5d07f8b2f59,4eb8a67197e7d3dc92e8f12b8a6827c1ddd6dbf05f9640809c82e6fd708072cf,0.0,13.322391236999465,final_all_frozen_splits,False,True
PureNoFuzzy,run_29_init_109_order_2003,109,2003,V+M+D,5,13,0.46951093514011466,platt,07580447b821091b0cb35fdf89a8f5b47b311bbbac70a600ac00452828cb98c0,24f4bc96a091f34e2a92fd8459649d2ad51167c37856ba7bb4785a0c52ea9003,0.0,4.925862546999269,final_all_frozen_splits,False,True
PureNoFuzzy,run_30_init_109_order_3007,109,3007,V+M+D,9,17,0.47786851764190336,platt,078a2664482d3f576071fd4b93b915489bb098914aa57c18c71c9abb0525ffc3,90171d5623807083582a25c622a505deb1c893effeeeb02480fb3ccae8988f98,0.0,6.357043031999638,final_all_frozen_splits,False,True
PlainTransformer,run_01_init_11_order_1001,11,1001,V+M+D,19,27,0.5417543939211231,platt,fcc9ab5ea111e18cabfea5cb30c56dc2d75f39c01d5ae018a463fc81ef87209a,ba1ae458b881ab68c3e4f9a57c8a90ca35301a0afcff6108dd21fbd99a0f7539,0.0,9.46383118400081,final_all_frozen_splits,False,True
PlainTransformer,run_02_init_11_order_2003,11,2003,V+M+D,16,24,0.5369368971704962,platt,896a420b5a97593f5eb24afac5753c16dde22af249d2b7b68b2f8e4230f7221a,e04784eb7376caa546a29b6c18b11d519e120a203eb89be016d100af22dc771e,0.0,8.233473704000062,final_all_frozen_splits,False,True
PlainTransformer,run_03_init_11_order_3007,11,3007,V+M+D,10,18,0.5412666573633215,platt,3bb64159f74ec0905a191defa0ca7644fa76a5f75f8d707dc47996f2e26958ae,e9d22353198799653214e69ce4207afaf0a10cb4cad7050f42dff3ddc1d89bc5,0.0,6.29615323500002,final_all_frozen_splits,False,True
PlainTransformer,run_04_init_23_order_1001,23,1001,V+M+D,11,19,0.5704595686007187,platt,4bb6b43cde8a473e35a58ba17c2bbde9e9b49347c6c96734ccb18600ac27bebe,e28639a737b34c9d27743448371347cd4a9808b32ef7f64c134e365673b3baf0,0.0,6.794828271998995,final_all_frozen_splits,False,True
PlainTransformer,run_05_init_23_order_2003,23,2003,V+M+D,11,19,0.5675429873408366,platt,e9013f1e5476fea8004a15d7d531df57ab89796b1f2825cb9a135e990eef7c4b,2d66c28bcc22186fae2b76744e60e580e0101823beb86f8f9b7c8e2d75dc8c64,0.0,6.629784159998962,final_all_frozen_splits,False,True
PlainTransformer,run_06_init_23_order_3007,23,3007,V+M+D,15,23,0.5684548709492057,platt,e68ba225ed25f7829c3e8c7b4c026b13cf4c973a56b6c35718b9a2644e4946cf,2dd22e2924162146060c4bcb77a7fac465a0709488e5c01ef6287b858baecc91,0.0,8.026456599000085,final_all_frozen_splits,False,True
PlainTransformer,run_07_init_37_order_1001,37,1001,V+M+D,10,18,0.5846180688884215,platt,60c2e4d9bfc7e814237be74cfbc3351724a6359bb572fa186af4e827f215e3cf,0549d32067bdea701ce50a7827064802cccf3fddd4ab49a8ebc5cfe9a87667da,0.0,6.370080692000556,final_all_frozen_splits,False,True
PlainTransformer,run_08_init_37_order_2003,37,2003,V+M+D,8,16,0.5713493008841424,platt,0be8498e2525ac33bf5e095ef4ae002a2e751f44edcd286425a1e06525e30513,500ab7e7b261a77c0a9f8fc70c2ceb2fab797e9105ba13174af861216583f7d8,0.0,5.626025513000059,final_all_frozen_splits,False,True
PlainTransformer,run_09_init_37_order_3007,37,3007,V+M+D,6,14,0.5714095788786795,platt,8c724f86c11ef8bc6f1ba3384439709eb55353903a44afe9c362cc1cbc10c959,9cd9add79c48c6d5f176d599f06349f3bd57bd84c8ebb868377c6f3a5538bfdc,0.0,4.929055676000644,final_all_frozen_splits,False,True
PlainTransformer,run_10_init_41_order_1001,41,1001,V+M+D,13,21,0.5759001051853865,platt,20f85e11036a490f7b7eca34daf11dfd1d78c0b17850fff3a7062cc2d3a3e9aa,da24c82f913543feeaaa4124900d9e3ada888f4b87c2b4216c7584a9f4106d49,0.0,7.37645649300066,final_all_frozen_splits,False,True
PlainTransformer,run_11_init_41_order_2003,41,2003,V+M+D,11,19,0.5851685779105409,platt,b1b55a8a0ba8cbf17c7fba851c1b228d52a24dcf63281ca83a67159af4c16039,ce5654f7c08e644729d5019869780a80da5efe9a8f3fd6ac1473c40891d03a78,0.0,6.825757868000437,final_all_frozen_splits,False,True
PlainTransformer,run_12_init_41_order_3007,41,3007,V+M+D,12,20,0.5755450177839907,platt,94c6f6b218283894d3f6cd0ee135faceb71c364a0e5846846e6ae7a7837dbb1f,22e3ac108b58a04823a20aced881ac561f3f6ee44309623630a90aca4aee29bc,0.0,6.93312187400079,final_all_frozen_splits,False,True
PlainTransformer,run_13_init_53_order_1001,53,1001,V+M+D,5,13,0.5455812919773221,platt,4f0b864103a80e1c35ec7597338f9247cd2f84ab9198b67580301c9bb16d1c25,162ce7c34e84bcf4d90c96e2d52f623c143c8e45db3655d7f9fbf09ed54d93f4,0.0,4.594244115998663,final_all_frozen_splits,False,True
PlainTransformer,run_14_init_53_order_2003,53,2003,V+M+D,6,14,0.5553955147241623,platt,d5af5770205be81382e9d94a045f7150a2adcc825a9d11e3d3bae1e695548b0b,c2e213e5f8f97ef534c5e3892a9fe3a7f61168cadce192a65473dc5576875876,0.0,4.973453956999947,final_all_frozen_splits,False,True
PlainTransformer,run_15_init_53_order_3007,53,3007,V+M+D,12,20,0.543742629453446,platt,b7b72d7db834b5d4d59a836c9ea1fef4dbaf5752c6c9ab88f4822f8d69ff0c42,22de89e14cd57c3f2416d6fb00821305a1400b5ab099671ee4a89e8ff78f7993,0.0,7.116017357000601,final_all_frozen_splits,False,True
PlainTransformer,run_16_init_67_order_1001,67,1001,V+M+D,10,18,0.5559654976292747,platt,91d3873a254c9dc20ce8c0f481412f2f3c810abe6c316d8304a0ab68b15eb60d,6123939314ab23d71de3131c4fa4e443a55863a2f1f581f46092ae47e53df968,0.0,6.240853425999376,final_all_frozen_splits,False,True
PlainTransformer,run_17_init_67_order_2003,67,2003,V+M+D,6,14,0.5461760193067944,platt,34ba884ab1f3b5c828155155111c84bed2053ae27c8f1f2d0d712a8b8dfd5baf,fd7ee8d8a59b0648e43fc4480c8539e86a59fca7af173bca1841c11193111614,0.0,4.91921937600091,final_all_frozen_splits,False,True
PlainTransformer,run_18_init_67_order_3007,67,3007,V+M+D,17,25,0.5681365489802492,platt,b20ea4e876cb80df36dfd44be07b3814e96240e0309f94da9750b655ac1b4c8b,ea4caee63d297f4c2dc6f038ceef1fe05175cd5bca6499f92fc188f732ee9bf4,0.0,8.776950268000292,final_all_frozen_splits,False,True
PlainTransformer,run_19_init_79_order_1001,79,1001,V+M+D,19,27,0.551613088778107,platt,48a7d3d27f303c124807b6b2708945b43a44f69143b491c496de25b6f2895a58,a8427c785aff0ff8d5f633043840f4062f6112c5fdf583396311345db9d0745f,0.0,9.340830385001027,final_all_frozen_splits,False,True
PlainTransformer,run_20_init_79_order_2003,79,2003,V+M+D,19,27,0.5490179990418368,platt,6e9dea6290577f9f8ad5f56f48f5c75e8b6a66fbfef8dd16752a95cdc650a3e9,ceba6cf5be2a3ebd2d13ce110df483a6ae507a14ba3f367f1c0fde343eeb073f,0.0,9.321121091999885,final_all_frozen_splits,False,True
PlainTransformer,run_21_init_79_order_3007,79,3007,V+M+D,17,25,0.5428686095417307,platt,48bf3f9291e5344978c123d8e2f25452eb35cd4e04d99d34b6334bda8000c3e8,ce87aa21ae40bd56895708d615bfde61d170a4090b0b38f9f87bb0091f0867d0,0.0,8.792547045999527,final_all_frozen_splits,False,True
